original,adversarial,original_label,final_label,success,queries
"unpretentious , charming , quirky , original","unpretentious , ictus , quirky , passe-partout copy",1,0,True,41
"a film really has to be exceptional to justify a three hour running time , and this isn't .",Failed to initialize,0,,False,984
working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek avoids most of the pitfalls you'd expect in such a potentially sudsy set-up .,working from a surprisingly sensitive script co-written by gianni romoli . . . ozpetek rick forth almost of the blank rest in meter lag you'd previse atomic total 49 such angstrom unit potentially lathery set-up .,1,0,True,162
"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",Failed to initialize,1,,False,982
"such a premise is ripe for all manner of lunacy , but kaufman and gondry rarely seem sure of where it should go .",Failed to initialize,0,,False,966
the lead actors share no chemistry or engaging charisma . we don't even like their characters .,Failed to initialize,0,,False,981
"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine .",Failed to initialize,0,,False,944
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery .","the metaphors are provocative , but alike often , the viewer is soaring by on cohere yesteryear the mechanics of the livery .",0,1,True,135
marinated in clichés and mawkish dialogue .,Failed to initialize,0,,False,935
an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection .,N/A,neg,pos,Skipped,0
"it has the right approach and the right opening premise , but it lacks the zest and it goes for a plot twist instead of trusting the material .","it affirm the right approach and the right opening star , but it deprivation the zest and it goes for a plot of realm twist alternatively of hope the material .",0,1,True,145
"the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the problem with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .","the film . . . presents classic moral-condundrum drama : what would you have done to survive ? the chore with the film is whether these ambitions , laudable in themselves , justify a theatrical simulation of the death camp of auschwitz ii-birkenau .",0,1,True,35
"as it stands , crocodile hunter has the hurried , badly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with canned shots of raymond burr commenting on the monster's path of destruction .","as it stands , crocodile hunter has the hurried , soberly cobbled look of the 1959 godzilla , which combined scenes of a japanese monster flick with present observation snapshot of raymond bur colour along the monster's path of aliveness of devastation .",0,1,True,135
there is more than one joke about putting the toilet seat down . and that should tell you everything you need to know about all the queen's men .,N/A,neg,pos,Skipped,0
"fails in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as dull as its characters , about whose fate it is hard to care .","perish in making this character understandable , in getting under her skin , in exploring motivation . . . well before the end , the film grows as buddy-buddy as its characters , about whose fate it is hard to care .",0,1,True,944
the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,N/A,pos,neg,Skipped,0
a charming and funny story of clashing cultures and a clashing mother/daughter relationship .,a fascinate and louche save up of collide finish and typecast A jar mother/daughter house relationship .,1,0,True,150
